locality,min_wage
Alameda,https://www.alamedaca.gov/Departments/Community-Development/Minimum-Wage
Belmont,https://www.belmont.gov/our-city/frequently-asked-questions/minimum-wage
Berkeley,https://www.cityofberkeley.info/MWO/
Cupertino,https://www.cupertino.org/our-city/city-news/cupertino-minimum-wage
Daly City,http://www.dalycity.org/City_Hall/Departments/city_manager/Minimum_Wage.htm
El Cerrito,https://www.el-cerrito.org/940/Minimum-Wage-Ordinance
Emeryville,http://www.ci.emeryville.ca.us/1024/Minimum-Wage-Ordinance
Fremont,https://www.fremont.gov/3328/Minimum-Wage
Los Altos,"https://www.losaltosca.gov/ed/page/minimum-wage#:~:text=As%20of%20January%201%2C%202020,per%20Los%20Altos%20Ordinance%20No."
Los Angeles,https://wagesla.lacity.org/#information
Los Angeles County,https://lacounty.gov/minimum-wage/
Malibu,"https://www.malibucity.org/793/Minimum-Wage#:~:text=July%201%2C%202017%20%2412.00%20per,1%2C%202020%20%2415.00%20per%20hour"
Milpitas,"http://www.ci.milpitas.ca.gov/milpitas/departments/minimum-wage/#:~:text=Beginning%20July%201%2C%202020%2C%20employers,less%20than%20%2415.40%20per%20hour."
Mountain View,https://www.mountainview.gov/depts/comdev/economicdev/city_minimum_wage.asp
Oakland,"http://www2.oaklandnet.com/Government/o/CityAdministration/d/MinimumWage/OAK051451#:~:text=The%20minimum%20wage%20increased%20to,%2413.23%20on%20January%201%2C%202018.; http://www2.oaklandnet.com/oakca1/groups/contracting/documents/marketingmaterial/oak061391.pdf"
Palo Alto,"https://www.cityofpaloalto.org/business/minimum_wage.asp#:~:text=Effective%20January%201%2C%202020%2C%20the,Alto%20is%20%2415.40%20per%20hour."
Pasadena,https://www.cityofpasadena.net/planning/code-compliance/minimum-wage-ordinance/
Redwood City,"https://www.redwoodcity.org/departments/city-manager/city-manager-s-initiatives/proposed-local-minimum-wage/minimum-wage-frequently-asked-questions#:~:text=The%20minimum%20wage%20in%20Redwood%20City%20is%20increasing%20on%20January,or%20more%20hours%20per%20week."
Richmond,https://www.ci.richmond.ca.us/2615/Minimum-Wage-Ordinance
Sacramento,https://www.qcode.us/codes/sacramento/revisions/2015-0036.pdf
San Diego,https://www.sandiego.gov/treasurer/minimum-wage-program#
San Francisco,"https://sfgov.org/olse/minimum-wage-ordinance-mwo#:~:text=Employees%20that%20perform%20work%20in,is%20based%20on%20Section%2012R."
San Jose,https://www.sanjoseca.gov/your-government/departments-offices/public-works/labor-compliance/minimum-wage-ordinance#:~:text=The%20current%20San%20Jos%C3%A9%20Minimum%20Wage%20rate%20is%20%2415.25%20per%20hour.
San Leandro,"https://www.sanleandro.org/depts/cityhall/mwo.asp#:~:text=Additional%20Information&text=What%20is%20San%20Leandro's%20current,all%20employees%20in%20San%20Leandro."
San Mateo,https://www.cityofsanmateo.org/3278/Minimum-Wage
Santa Clara,"https://www.santaclaraca.gov/business-development/business-services/minimum-wage-ordinance#:~:text=On%20August%2022%2C%202017%20Santa,Consumer%20Price%20Index%20(CPI)."
Santa Monica,https://beta.smgov.net/strategic-goals/inclusive-diverse-community/minimum-wage-ordinance
Sunnyvale,https://sunnyvale.ca.gov/civicax/filebank/blobdload.aspx?BlobID=26074
